First,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Loser,South Dakota State,0.5751,0.8,1,114,9.9,7.7,1.121,114.6,1.017,104,0.104,10.6,83.4,75.6,7.8,1.165,1.057,0.108,0.459,0.438,0.021,0.392,0.764,0.517,0.065,0.136,0.14,0.004,0.035,0.221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,Gonzaga,0.5978,0.882,0.5,70,17.9,17.4,1.172,119.8,0.931,95.1,0.241,24.7,84.5,67.1,17.4,1.201,1.008,0.193,0.503,0.405,0.098,0.374,0.722,0.564,0.089,0.157,0.17,0.013,0.063,0.236
Loser,UNC-Greensboro,0.5587,0.774,0.667,164,8.9,8.8,1.047,105.7,0.919,96.6,0.128,9.1,72.1,63.3,8.8,1.089,1.044,0.045,0.438,0.409,0.029,0.356,0.701,0.542,0.107,0.195,0.213,0.018,0.075,0.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,Houston,0.6126,0.812,0.667,62,22.1,12.5,1.107,115.8,0.928,100,0.179,15.8,77.4,64.9,12.5,1.135,1.01,0.125,0.466,0.397,0.069,0.387,0.717,0.549,0.092,0.174,0.19,0.016,0.058,0.3
Loser,San Diego State,0.5637,0.677,0.333,85,13.6,8.6,1.076,111.3,0.955,97.1,0.121,14.2,77.1,68.4,8.7,1.107,1.044,0.063,0.458,0.421,0.037,0.343,0.722,0.535,0.086,0.167,0.19,0.023,0.054,0.241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,Michigan,0.6172,0.794,0.4,15,23.5,10.1,1.093,115.9,0.943,92.7,0.15,23.2,73.6,63.5,10.1,1.125,1.034,0.091,0.466,0.432,0.034,0.363,0.657,0.506,0.092,0.136,0.191,0.055,0.057,0.233
Loser,Montana,0.5529,0.774,0.667,182,5.3,9.3,1.076,110.1,0.949,99.3,0.127,10.8,78.1,68.8,9.3,1.108,1.058,0.05,0.471,0.426,0.045,0.341,0.715,0.536,0.107,0.17,0.206,0.036,0.062,0.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,Texas A&M,0.5959,0.625,0.444,16,12.6,5.2,1.037,111.2,0.966,94.3,0.071,16.9,75,69.8,5.2,1.073,0.99,0.083,0.457,0.403,0.054,0.327,0.667,0.539,0.078,0.188,0.156,-0.032,0.095,0.232
Loser,Providence,0.5882,0.618,0.917,31,9.5,1,1.017,108.9,1.003,97,0.014,11.9,73.7,72.7,1,1.07,1.074,-0.004,0.442,0.443,-0.001,0.333,0.703,0.5,0.095,0.172,0.185,0.013,0.064,0.244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,North Carolina,0.6418,0.714,0.545,1,21.7,8.9,1.115,122,0.995,96.9,0.12,25.1,82,73.1,8.9,1.108,1.049,0.059,0.46,0.422,0.038,0.364,0.741,0.566,0.077,0.164,0.158,-0.006,0.068,0.214
Loser,Lipscomb,0.5351,0.69,0.667,221,1.5,2.4,1.024,103.8,0.994,103.4,0.03,0.4,80.9,78.5,2.4,1.118,1.103,0.015,0.455,0.456,-0.001,0.33,0.725,0.52,0.08,0.198,0.195,-0.003,0.048,0.256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,Florida State,0.5699,0.645,0.5,38,7.7,7.3,1.087,115.8,0.99,100,0.097,15.8,81.8,74.5,7.3,1.132,1.048,0.084,0.474,0.421,0.053,0.351,0.685,0.521,0.089,0.173,0.187,0.014,0.083,0.243
Loser,Xavier,0.6467,0.849,0.9,19,16.6,9.8,1.137,120.7,1.005,99,0.132,21.7,84.3,74.5,9.8,1.202,1.061,0.141,0.491,0.431,0.06,0.369,0.79,0.551,0.079,0.168,0.153,-0.015,0.047,0.228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos
Winner,Gonzaga,0.5978,0.882,0.5,70,17.9,17.4,1.172,119.8,0.931,95.1,0.241,24.7,84.5,67.1,17.4,1.201,1.008,0.193,0.503,0.405,0.098,0.374,0.722,0.564,0.089,0.157,0.17,0.013,0.063,0.236
Loser,Ohio State,0.6058,0.75,0.5,32,13.8,9.1,1.09,116.2,0.959,95,0.131,21.2,75.8,66.7,9.1,1.145,1.029,0.116,0.485,0.415,0.07,0.353,0.726,0.54,0.087,0.17,0.177,0.007,0.07,0.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
