Result,Team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,Year
Loser,portland st,0.543,0.7,0.667,218,9.4,5.8,1.067,108.6,0.984,103.2,0.083,5.4,74.1,68.3,5.8,1.15,1.083,0.067,0.469,0.447,0.022,0.401,0.671,0.514,0.098,0.208,0.218,0.01,0.062,0.258,2008
,,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
Winner,team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,2008
Winner,unlv,0.602,0.781,0.6,106,16.2,7.3,1.033,110.2,0.924,96.5,0.109,13.7,69.2,61.9,7.3,1.052,0.989,0.063,0.42,0.406,0.014,0.335,0.745,0.487,0.114,0.154,0.216,0.062,0.052,0.255,2008
Loser,kent state,0.605,0.824,0.727,129,17.3,7.6,1.033,107.8,0.919,94.8,0.114,13,69.2,61.6,7.6,1.122,0.999,0.123,0.467,0.409,0.058,0.368,0.714,0.511,0.127,0.215,0.238,0.023,0.075,0.28,2008
,,,,,x,,,,x,,,,x,,,,,x,,,x,,,x,,,x,,x,,x,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
Winner,team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,2008
Winner,villanova,0.573,0.625,0.571,39,16.1,3.5,1.029,109.2,0.979,95,0.05,14.2,72.8,69.3,3.5,1.063,1.1,-0.037,0.429,0.438,-0.009,0.342,0.723,0.519,0.114,0.197,0.231,0.034,0.056,0.294,2008
Loser,clemson,0.61,0.742,0.6,28,22.3,10.2,1.072,114,0.934,91.9,0.138,22.1,79.1,69,10.1,1.078,1.029,0.049,0.46,0.434,0.026,0.381,0.627,0.517,0.131,0.194,0.236,0.042,0.094,0.26,2008
,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
Winner,team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,2008
Winner,siena,0.557,0.688,0.714,202,10.6,5.8,1.064,108.6,0.984,100.7,0.08,7.9,76.8,71.1,5.7,1.078,1.066,0.012,0.451,0.451,0,0.383,0.683,0.469,0.131,0.151,0.237,0.086,0.06,0.214,2008
Loser,vanderbilt,0.625,0.788,0.75,65,19.7,6.2,1.079,112.3,0.996,99.6,0.083,12.7,80.6,74.4,6.2,1.16,1.047,0.113,0.467,0.436,0.031,0.404,0.736,0.495,0.08,0.192,0.197,0.005,0.058,0.244,2008
,,,,,,,,,,x,,,,,x,,,,,,,,,,,x,x,x,x,x,x,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
Winner,team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,2008
Winner,kansas st,0.577,0.633,0.5,40,15,9.8,1.059,114.2,0.927,95.3,0.132,18.9,78.8,69,9.8,1.064,1.023,0.041,0.444,0.422,0.022,0.324,0.695,0.553,0.103,0.202,0.219,0.017,0.063,0.27,2008
Loser,usc,0.591,0.656,0.5,3,20.8,5.9,1.015,110.5,0.929,91.9,0.086,18.6,69.1,63.2,5.9,1.127,0.954,0.173,0.481,0.391,0.09,0.384,0.685,0.504,0.084,0.214,0.191,-0.023,0.075,0.231,2008
,,,,,,,x,x,x,x,,x,x,x,,x,,,,,,,,x,x,x,x,x,x,,,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
Winner,team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,2008
Winner,wisconsin,0.628,0.875,0.625,47,27.3,13.6,1.061,113.5,0.847,86.8,0.214,26.7,67.5,53.9,13.6,1.086,0.925,0.161,0.459,0.379,0.08,0.354,0.708,0.545,0.099,0.186,0.216,0.03,0.064,0.226,2008
Loser,cs fullerton,0.552,0.742,0.4,222,13.7,9.6,1.108,112.3,0.979,103.9,0.129,8.4,82.5,72.9,9.6,1.143,1.106,0.037,0.476,0.466,0.01,0.385,0.706,0.511,0.119,0.179,0.229,0.05,0.025,0.253,2008
,,x,x,x,x,x,x,,x,x,x,x,x,,x,x,,x,x,,x,x,,x,x,,,,,x,x,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
Winner,team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,2008
Winner,davidson,0.59,0.806,0.5,160,20.2,14.2,1.106,117,0.903,93.4,0.203,23.6,77.3,63.1,14.2,1.136,1.026,0.11,0.472,0.419,0.053,0.365,0.729,0.524,0.11,0.171,0.233,0.062,0.062,0.26,2008
Loser,gonzaga,0.594,0.781,0.7,102,24.5,13.2,1.081,114.5,0.894,95.5,0.187,19,76.5,63.2,13.3,1.152,0.966,0.186,0.484,0.393,0.091,0.371,0.715,0.537,0.106,0.199,0.206,0.007,0.084,0.249,2008
,,,x,,,,x,x,x,,x,x,x,x,x,x,,,,,,,,x,,x,x,x,x,,,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
Winner,team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,2008
Winner,georgetown,0.643,0.844,1,26,25.9,11.8,1.077,115.2,0.896,89.7,0.181,25.5,69.7,58,11.7,1.163,0.922,0.241,0.486,0.367,0.119,0.38,0.665,0.519,0.11,0.202,0.191,-0.011,0.092,0.271,2008
Loser,maryland bc,0.547,0.742,0.643,269,11.1,5.4,1.105,113.2,1.026,109.3,0.079,3.9,74.9,69.5,5.4,1.104,1.064,0.04,0.454,0.437,0.017,0.386,0.731,0.492,0.087,0.141,0.183,0.042,0.06,0.24,2008
,,x,x,x,x,x,x,,x,x,x,x,x,,x,x,x,x,x,x,x,x,,,x,x,,x,,x,,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
Winner,team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,2008
Winner,kansas,0.646,0.906,0.6,44,31.8,19.8,1.146,120.9,0.866,85.7,0.28,35.2,81.1,61.3,19.8,1.177,0.96,0.217,0.505,0.382,0.123,0.389,0.708,0.555,0.13,0.183,0.224,0.041,0.11,0.247,2008
Loser,unlv,0.602,0.781,0.6,106,16.2,7.3,1.033,110.2,0.924,96.5,0.109,13.7,69.2,61.9,7.3,1.052,0.989,0.063,0.42,0.406,0.014,0.335,0.745,0.487,0.114,0.154,0.216,0.062,0.052,0.255,2008
,,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,x,,x,x,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
Winner,team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,2008
Winner,villanova,0.573,0.625,0.571,39,16.1,3.5,1.029,109.2,0.979,95,0.05,14.2,72.8,69.3,3.5,1.063,1.1,-0.037,0.429,0.438,-0.009,0.342,0.723,0.519,0.114,0.197,0.231,0.034,0.056,0.294,2008
Loser,siena,0.557,0.688,0.714,202,10.6,5.8,1.064,108.6,0.984,100.7,0.08,7.9,76.8,71.1,5.7,1.078,1.066,0.012,0.451,0.451,0,0.383,0.683,0.469,0.131,0.151,0.237,0.086,0.06,0.214,2008
,,x,,,x,x,,,x,x,x,,x,,x,,,,,,x,,,x,x,,,,,,,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
Winner,team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,2008
Winner,wisconsin,0.628,0.875,0.625,47,27.3,13.6,1.061,113.5,0.847,86.8,0.214,26.7,67.5,53.9,13.6,1.086,0.925,0.161,0.459,0.379,0.08,0.354,0.708,0.545,0.099,0.186,0.216,0.03,0.064,0.226,2008
Loser,kansas st,0.577,0.633,0.5,40,15,9.8,1.059,114.2,0.927,95.3,0.132,18.9,78.8,69,9.8,1.064,1.023,0.041,0.444,0.422,0.022,0.324,0.695,0.553,0.103,0.202,0.219,0.017,0.063,0.27,2008
,,x,x,x,,x,x,x,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,,,x,,x,x,x,2008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
Winner,team,RPI,Win%,CGWin%,SOS,Last 10,Margin,OffE,AdjO,DefE,AdjD,EffM,AdjEM,PF,PA,PFAM,TrueS%,OpTS%,TS%M,FG%,OpFG%,FG%M,3P%,FT%,RB%,ST/Pos,TO/Pos,OpTO/Pos,TOM,BL%,PF/Pos,2008
Winner,davidson,0.59,0.806,0.5,160,20.2,14.2,1.106,117,0.903,93.4,0.203,23.6,77.3,63.1,14.2,1.136,1.026,0.11,0.472,0.419,0.053,0.365,0.729,0.524,0.11,0.171,0.233,0.062,0.062,0.26,2008
